gameId,playId,nflId,displayName,pressure_over_expected
2018090600,320,2552301.0,Vic Beasley,-0.045034212252860945
2018090600,344,2552301.0,Vic Beasley,-0.046067406479407505
2018090600,752,2552301.0,Vic Beasley,-0.04115648500827763
2018090600,1037,2555255.0,De'Vondre Campbell,-0.08298951533420094
2018090600,1202,2552301.0,Vic Beasley,-0.07912697160709281
2018090600,1202,2555255.0,De'Vondre Campbell,-0.06453147796652668
2018090600,1628,2552301.0,Vic Beasley,-0.08571095797034675
2018090600,2094,2552301.0,Vic Beasley,0.9389971224754657
2018090600,2116,2552301.0,Vic Beasley,-0.08247073972266196
2018090600,2260,2552301.0,Vic Beasley,-0.04945633545752013
2018090600,2382,2552301.0,Vic Beasley,-0.052227282257866346
2018090600,2382,2555255.0,De'Vondre Campbell,-0.022863724790948267
2018090600,2450,2556363.0,Kamu Grugier-Hill,-0.05267982275512844
2018090600,2624,2557967.0,Duke Riley,-0.02930984881757537
2018090600,2811,2552301.0,Vic Beasley,-0.10886917379950439
2018090600,2811,2555255.0,De'Vondre Campbell,-0.0893196603460208
2018090600,3257,2556363.0,Kamu Grugier-Hill,-0.03461601345867828
2018090600,3678,2552301.0,Vic Beasley,-0.07885610326736449
2018090600,3904,2552301.0,Vic Beasley,-0.04266545356078807
2018090600,3928,2552301.0,Vic Beasley,-0.06959895395032806
2018090600,3979,2552301.0,Vic Beasley,0.8861825411283605
2018090900,95,2506268.0,Lorenzo Alexander,-0.04146062776273107
2018090900,444,2505660.0,Terrell Suggs,-0.056426431250091336
2018090900,444,2552279.0,Za'Darius Smith,-0.056426431250091336
2018090900,553,2506268.0,Lorenzo Alexander,-0.04358029941772625
2018090900,553,2557969.0,Matt Milano,-0.04358029941772625
2018090900,600,2505660.0,Terrell Suggs,-0.032859193902510776
2018090900,600,2552279.0,Za'Darius Smith,-0.032859193902510776
2018090900,622,2505660.0,Terrell Suggs,-0.033989357704030373
2018090900,622,2552279.0,Za'Darius Smith,-0.033989357704030373
2018090900,646,2505660.0,Terrell Suggs,-0.05491060376465878
2018090900,646,2552279.0,Za'Darius Smith,-0.03863434926168894
2018090900,646,2555505.0,Matt Judon,-0.05491060376465878
2018090900,797,2557969.0,Matt Milano,-0.039744944049827764
2018090900,877,2506268.0,Lorenzo Alexander,-0.047827084556591744
2018090900,1161,2557969.0,Matt Milano,-0.11058211966548241
2018090900,1260,2505660.0,Terrell Suggs,-0.05231656035191086
2018090900,1260,2555505.0,Matt Judon,0.9476834396480891
2018090900,1338,2505660.0,Terrell Suggs,-0.07225004007682627
2018090900,1338,2552279.0,Za'Darius Smith,-0.05111210045908283
2018090900,1338,2555505.0,Matt Judon,-0.07225004007682627
